Restaurant Name,Price,Cuisine,Distance,Cleanliness and Hygiene,Locality/Neighborhood,Wait Times,Portion Sizes,Overall Rating
res1,84,Indian,71,88,95,55,85,85
res2,91,Indian,98,99,95,65,89,89
res3,93,Indian,79,96,95,82,87,87
res4,88,Indian,83,87,95,95,66,66
res5,95,Indian,88,93,95,87,98,98
res6,83,Indian,92,90,95,41,54,54
res7,81,Indian,95,95,95,65,63,63
res8,96,Indian,81,89,95,32,48,48
res9,87,Indian,76,92,95,41,95,95
res10,89,Indian,90,87,95,75,66,66
res11,82,Indian,87,86,95,98,87,87
res12,98,Indian,80,95,95,96,99,99
res13,80,Indian,93,96,96,54,91,91
res14,94,Indian,84,87,95,85,66,85
res15,92,Indian,72,98,95,96,85,89
res16,97,Indian,100,100,95,45,85,87
res17,99,Indian,76,96,95,66,41,66
res18,90,Indian,85,90,95,68,65,98
res19,85,Indian,89,85,95,97,32,54
res20,86,Indian,77,92,95,95,41,63
res21,80,Indian,96,89,95,33,75,48
res22,89,Indian,94,88,95,65,98,95
res23,87,Indian,70,91,95,87,96,66
res24,88,Indian,99,97,95,22,54,87
res25,83,Indian,82,95,95,95,85,99
