Restaurant Name,Price,Cuisine,Distance,Cleanliness and Hygiene,Locality/Neighborhood,Wait Times,Portion Sizes,Overall Rating
Vedeya,59,International,26,64,97,49,47,58
SAUTE,21,Japanese,74,22,91,1,48,46
#1 CHINESE KITCHEN,51,Chinese,28,72,18,66,52,45
#1 chinese restaurant,63,Chinese,66,32,87,44,10,55
19TH HOLE,60,Chinese,75,92,66,6,5,59
3 KINGS,45,Mexican,85,50,90,17,23,58
"3 MILES HOUSE, INC.",72,American,28,14,71,89,31,49
3 W'S TAVERN,53,Chinese,83,50,73,61,10,58
300 SOUTH ANN STREET,48,Korean,30,82,83,83,46,61
438 CLUB,59,Italian,81,19,10,48,1,38
5-MILE HOUSE,73,Japanese,14,73,71,94,2,55
"743 S. MONTFORD,INC.",60,Mexican,1,91,94,68,68,62
A & W RESTAURANT,66,Chinese,28,65,33,96,77,55
A TASTE OF CHINA,94,Chinese,63,28,81,95,39,66
ABACROMBIE FINE FOODS,34,Korean,61,59,74,98,23,57
ABC SUSHI,49,Japanese,3,49,29,4,50,31
ACROPOLIS RESTAURANT,52,Spanish,31,86,83,0,73,57
ADMIRAL FELL INN,50,Indian,76,10,75,71,27,52
AG & HARP'S,40,Mexican,43,100,36,71,40,54
"AIRPORT BAR & GRILL, INC.",50,Japanese,2,34,37,65,30,34
AKBAR RESTAURANT,96,Thai,21,92,48,86,71,67
"AKDEY SUBWAY, INC.",65,Indian,70,100,45,7,68,63
ALDO'S   RESTAURANT,66,Japanese,70,23,97,30,11,55
ALE MARY'S,50,Spanish,28,31,43,62,59,42
ALEXANDER'S TAVERN,29,Indian,82,29,41,88,9,45
ALFEO'S,27,Chinese,7,20,40,35,59,28
AL-HO CLUB,22,American,38,56,25,14,72,36
BAY ATLANTIC CLUB,51,Korean,52,54,26,37,37,44
BAY CAFE,92,Korean,94,80,49,17,45,69
BEACH  BUMS CAF,45,Italian,14,69,35,13,75,41
BECKER'S TAVERN,45,Thai,63,79,90,13,25,59
BEDROCK,79,American,51,43,54,94,13,56
BEDROCK (KITCHEN AREA),92,American,83,73,78,62,31,74
BELAIR PUB,62,Korean,60,61,64,96,8,59
BELT STREET PUB,26,Mexican,22,28,47,96,64,40
BELVEDERE TOWERS CAF,72,French,92,54,33,21,53,57
"BERGER'S TAVERN, INCORPORATED",58,Korean,78,28,63,44,56,55
BERMUDA BAR,67,Indian,21,54,24,78,4,41
BERTHA'S RESTAURANT,85,Thai,49,88,32,22,79,60
BERT'S EATS & DRINKS (3103-05),67,Mexican,83,72,15,3,38,51
BEST WESTERN TRAVEL PLAZA,80,Thai,17,45,39,69,37,46
BIG APPLE TREE CAF,53,Indian,53,85,83,5,70,62
BIG BAD WOLF'S HOUSE OF BARBEQUE,69,Chinese,67,44,90,23,7,57
BIG KAHUNA CANTINA,79,French,9,26,65,43,18,41
BIG TEE'S BAR & GRILL,50,Chinese,51,90,36,62,56,57
BILL'S 60'S & 70'S CLUB,72,Chinese,2,78,99,10,65,57
BILL'S CAFE,80,Chinese,74,61,13,96,68,62
BILL'S LIGHTHOUSE INN,68,Indian,76,100,49,93,61,74
BILTMORE SUITES HOTEL,66,Japanese,15,57,72,36,68,52
BIRCHES RESTAURANT,60,Spanish,5,24,95,53,20,44
BIRDS OF A FEATHER,44,Indian,80,63,74,65,9,59
"BLACKTIE SERVICE, LLP",25,Indian,32,93,24,29,9,38
BLACKTIE SERVICES,97,Chinese,9,12,16,62,52,38
BLARNEY STONE INN,24,Chinese,25,43,16,12,39,26
BLARNEY STONE PUB,100,Japanese,40,30,27,47,8,44
BLEACHERS,68,Japanese,90,38,11,6,39,45
ALLEN RESTAURANT,62,Spanish,2,14,23,24,72,29
ALOHA TOKYO,84,Chinese,43,80,52,85,36,63
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,21,Mexican,11,46,48,93,46,39
AMBASSADOR DINNING ROOM,92,Chinese,12,21,47,9,40,39
AMBROSIA'S,45,Mexican,53,66,48,18,46,48
AMERICAN FOOD SERVICE,30,American,59,37,91,10,44,48
AMERICAN LEGION FEDERAL POST #19,21,American,12,42,28,72,70,34
AMERICAN LEGION POST #187,24,American,5,46,84,1,70,38
AMERICAN LEIGON FORT MCHENRY POST #133,61,American,61,84,74,10,56,62
AMIGO'S BAR,43,Chinese,0,25,51,83,24,34
ANGELINA'S,71,Thai,71,69,83,2,3,59
ANGELO'S RESTAURANT & CARRYOUT,70,Chinese,27,40,32,13,57,40
ANGELS ROCK BAR,84,Japanese,9,100,48,24,56,56
ANGLE INN,99,Japanese,23,15,99,60,52,58
ANNABEL LEE TAVERN,52,Spanish,56,51,55,32,63,52
ANNS AT LEXINGTON PLACE,44,Chinese,40,26,23,56,6,32
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,43,French,11,42,73,15,53,40
aramark at citi bank baltimore,75,Japanese,82,45,30,99,17,58
ARAMARK FHC SPORTS  (MAIN KITCHEN),75,American,32,80,84,73,17,63
ARAMARK FHC SPORTS (BAR 200-201),94,French,65,85,78,65,31,74
ARAMARK FHC SPORTS (BAR 210),30,Japanese,5,40,20,92,78,36
ARAMARK FHC SPORTS (BAR 217),95,American,22,92,75,61,17,64
ARAMARK FHC SPORTS (BAR 221),62,Chinese,7,94,77,31,46,55
ARAMARK FHC SPORTS (BAR 232),95,Indian,6,18,70,95,18,49
ARAMARK FHC SPORTS (BAR 236),33,Thai,15,51,57,40,38,39
ARAMARK FHC SPORTS (BAR 244),76,Chinese,86,64,57,24,61,65
ARAMARK FHC SPORTS (BAR 252-253),57,Thai,66,81,35,16,37,53
ARAMARK/PNC,34,Thai,63,16,100,65,0,49
ARA-MONUMENTAL LIFE INSURANCE COMPANY,82,American,63,51,73,25,65,62
ARCH SOCIAL CLUB,45,Indian,51,83,76,40,62,61
ARCOS,74,Thai,38,56,24,22,28,43
ARIZONA BAR & GRILL,66,American,30,18,43,85,19,41
ASAHI SUSHI,61,Japanese,91,93,16,15,70,60
asian taste,75,Chinese,58,82,80,93,60,74
ATWATER'S,83,Korean,61,30,73,30,56,58
AU BON PAIN,67,Italian,48,28,31,80,80,50
AUSTIN GRILL,81,Chinese,98,95,99,6,22,77
AVENUE BAR & LIQUOR,35,Indian,48,87,67,40,78,59
azteca de oro,93,Thai,96,25,57,81,59,68
B,94,Italian,81,96,39,6,50,67
B & J RESTAURANT,77,Thai,90,60,79,19,0,63
B & O CAFE,80,Spanish,69,37,96,52,7,62
B G'S,44,Spanish,13,17,74,94,13,40
"B.G.'S,PUB INCORPORATED",79,Indian,27,69,82,9,72,59
babalu grill,72,Korean,90,45,54,18,54,59
BACKSTRETCH SALOON,28,Thai,17,72,25,5,74,36
BAJA BEACH CLUB  (COMBINED WITH BAR-L),69,Italian,71,29,60,87,35,58
BALTIMORE BEVERAGE CO. LLC,89,Thai,98,82,20,89,51,71
